reach,d0,d1,d2,d3,d4,nUp,u0,u1,u2,u3,u4,area,upArea
9207,9238,-1.0,-1.0,-1.0,-1.0,2,9174,9173,-1,-1,-1.0,2.0996176684378702,100.5906840665288
9206,9234,-1.0,-1.0,-1.0,-1.0,2,9172,9171,-1,-1,-1.0,14.598197134563927,3314.634279060482
9205,9234,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,67.73788354921575,67.73788354921575
9204,9233,-1.0,-1.0,-1.0,-1.0,2,9170,9169,-1,-1,-1.0,0.8764544784769744,137.4159258489031
9203,9233,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,70.55314070829787,70.55314070829787
9202,9232,-1.0,-1.0,-1.0,-1.0,2,9168,9167,-1,-1,-1.0,92.07179789227158,333.41206254775847
9201,9232,-1.0,-1.0,-1.0,-1.0,2,9166,9165,-1,-1,-1.0,10.486093833665526,142.8701333764297
9200,9230,-1.0,-1.0,-1.0,-1.0,2,9164,9163,-1,-1,-1.0,14.168336265745351,7418.837413041369
9199,9230,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,54.478156016783075,54.478156016783075
9198,9229,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,67.02268622815939,67.02268622815939
9197,9229,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,48.31232593782285,48.31232593782285
9196,9228,-1.0,-1.0,-1.0,-1.0,2,9162,9161,-1,-1,-1.0,7.305319076782911,3878.402875770144
9195,9228,-1.0,-1.0,-1.0,-1.0,2,9160,9159,-1,-1,-1.0,52.6892531758908,212.02735041557827
9194,9227,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,40.381546420130505,40.381546420130505
9193,9227,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,60.807697441362215,60.807697441362215
9192,9226,-1.0,-1.0,-1.0,-1.0,2,9158,9157,-1,-1,-1.0,15.42229999960466,91.84683583652122
9191,9226,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,96.81134314379669,96.81134314379669
9190,9224,-1.0,-1.0,-1.0,-1.0,2,9156,9155,-1,-1,-1.0,8.183650244659939,2950.006504144175
9189,9224,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,66.81476967686301,66.81476967686301
9188,9222,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,45.618668474455006,45.618668474455006
9187,9222,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,42.6901958151786,42.6901958151786
9186,9220,-1.0,-1.0,-1.0,-1.0,2,9154,9153,-1,-1,-1.0,15.525312630218215,10202.592041488915
9185,9220,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,32.184332079724996,32.184332079724996
9184,9219,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,43.38517783172907,43.38517783172907
9183,9219,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,66.8758003507963,66.8758003507963
9182,9218,-1.0,-1.0,-1.0,-1.0,2,9152,9151,-1,-1,-1.0,15.592207218064793,1429.679185286665
9181,9218,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,94.79794361523165,94.79794361523165
9180,9216,-1.0,-1.0,-1.0,-1.0,2,9150,9149,-1,-1,-1.0,0.07613147281877909,172614.44369597305
9179,9216,-1.0,-1.0,-1.0,-1.0,2,9148,9147,-1,-1,-1.0,20.81807390162427,778.9305973145599
9178,9212,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,52.13927152091746,52.13927152091746
